Total_Trades,Directional_Accuracy_Pct,RMSE_Close,MAE_Close,filename
117,56.41025641025641,0.8780421855842514,0.6904905200403991,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=0.9-top_p=0.96-sample_count=2.csv
117,56.41025641025641,0.9370513016963533,0.7457768519214104,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=0.9-top_p=0.92-sample_count=2.csv
117,56.41025641025641,1.0049111883115929,0.7456386820996928,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=1.0-top_p=0.98-sample_count=2.csv
117,56.41025641025641,1.096072073751288,0.7502219751602569,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=0.8-top_p=1.0-sample_count=2.csv
213,55.86854460093896,0.7098555740979753,0.5537309331902867,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.1-top_p=0.9-sample_count=100.csv
213,55.86854460093896,0.7164074920659447,0.5547425671214768,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=0.9-top_p=0.9-sample_count=100.csv
213,55.86854460093896,0.8000339786245305,0.6298438133848664,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.0-top_p=0.98-sample_count=2.csv
213,55.86854460093896,0.8193695766068264,0.6498660939104662,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.0-top_p=0.9-sample_count=2.csv
309,55.663430420711975,0.7973823971066725,0.6119080852422132,prediction_SOL_15min-model=kronos-mini-lookback=216-pred_len=1-temperature=0.9-top_p=0.98-sample_count=2.csv
117,55.55555555555556,0.7629853607591429,0.5989406855134883,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=1.2-top_p=0.96-sample_count=100.csv
117,55.55555555555556,0.7709850265942324,0.6045427588307969,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=1.0-top_p=0.96-sample_count=100.csv
117,55.55555555555556,0.7764174767608989,0.6043576146834927,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=0.9-top_p=0.98-sample_count=100.csv
117,55.55555555555556,0.926899681327827,0.7138466721754809,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=1.0-top_p=0.9-sample_count=2.csv
213,55.39906103286385,0.7833528817256578,0.6028152109925142,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.1-top_p=0.96-sample_count=2.csv
213,55.39906103286385,0.8617542334775045,0.6586281957205476,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.1-top_p=0.9-sample_count=2.csv
213,54.929577464788736,0.7082359174687107,0.5476816121992362,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=0.9-top_p=0.96-sample_count=100.csv
213,54.929577464788736,0.7084099797745504,0.552273361506931,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=0.8-top_p=0.94-sample_count=100.csv
213,54.929577464788736,0.7096658984219415,0.5479723553724676,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=0.9-top_p=1.0-sample_count=100.csv
213,54.929577464788736,0.7174219435025675,0.5511826277325401,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=0.8-top_p=1.0-sample_count=100.csv
213,54.929577464788736,0.7753895185465017,0.5977730480211972,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=0.8-top_p=0.98-sample_count=2.csv
501,54.890219560878236,0.705115820249908,0.534585562517544,prediction_SOL_15min-model=kronos-mini-lookback=24-pred_len=1-temperature=0.9-top_p=0.92-sample_count=100.csv
501,54.890219560878236,0.7216499496560947,0.5484786299471381,prediction_SOL_15min-model=kronos-mini-lookback=24-pred_len=1-temperature=1.2-top_p=1.0-sample_count=100.csv
117,54.700854700854705,0.7654025281421566,0.5974179887820502,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=1.0-top_p=0.9-sample_count=100.csv
117,54.700854700854705,0.774067710486322,0.6095576952290328,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=1.1-top_p=0.98-sample_count=100.csv
117,54.700854700854705,0.9079270703514027,0.6895347443409499,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=0.8-top_p=0.94-sample_count=2.csv
213,54.460093896713616,0.7112241183478358,0.5515453570871839,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.0-top_p=0.9-sample_count=100.csv
213,54.460093896713616,0.7133914526042338,0.5541304160247935,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=0.8-top_p=0.92-sample_count=100.csv
213,54.460093896713616,0.7149084207973743,0.5523917043766531,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=0.9-top_p=0.92-sample_count=100.csv
213,54.460093896713616,0.7170624122542204,0.5556328551386427,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=0.8-top_p=0.9-sample_count=100.csv
213,54.460093896713616,0.8676897808193664,0.6775562644421209,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.0-top_p=1.0-sample_count=2.csv
213,54.460093896713616,0.8996480419467348,0.6958783199686405,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.1-top_p=0.98-sample_count=2.csv
