timestamps,open,high,low,close,volume
2025-07-27 17:15:00,186.738,187.048,185.904,186.997,22147
2025-07-27 17:30:00,186.947,187.511,186.607,187.218,23317
2025-07-27 17:45:00,187.298,188.317,187.108,188.038,21853
2025-07-27 18:00:00,188.021,188.638,187.6491,188.567,14319
2025-07-27 18:15:00,188.567,188.758,187.977,188.457,11216
2025-07-27 18:30:00,188.457,188.739,187.602,188.048,14167
2025-07-27 18:45:00,187.977,188.678,187.435,188.377,12801
2025-07-27 19:00:00,188.297,188.558,187.747,187.943,6580
2025-07-27 19:15:00,187.948,187.948,187.387,187.487,6011
2025-07-27 19:30:00,187.6078,187.878,187.145,187.197,5166
2025-07-27 19:45:00,187.28,187.428,186.866,186.917,4612
2025-07-27 20:00:00,186.928,187.963,186.928,187.838,5490
2025-07-27 20:15:00,187.828,188.188,187.6,187.938,3187
2025-07-27 20:30:00,187.947,187.947,187.117,187.267,2972
2025-07-27 20:45:00,187.117,187.458,186.6543,187.078,4574
2025-07-27 21:00:00,187.118,187.418,186.537,186.568,3528
2025-07-27 21:15:00,186.522,186.957,186.4,186.938,2633
2025-07-27 21:30:00,187.0,187.298,186.475,186.627,1959
2025-07-27 21:45:00,186.637,187.938,186.637,187.938,2520
2025-07-27 22:00:00,187.9531,190.258,187.798,190.1626,11903
2025-07-27 22:15:00,190.188,190.699,189.475,190.027,7226
2025-07-27 22:30:00,190.17,190.319,189.477,190.038,3760
2025-07-27 22:45:00,190.038,190.04,188.855,188.907,3973
2025-07-27 23:00:00,189.078,189.078,187.146,187.548,7017
2025-07-27 23:15:00,187.538,188.098,187.487,188.018,2652
2025-07-27 23:30:00,188.018,188.468,187.547,188.237,3037
2025-07-27 23:45:00,188.248,188.788,188.185,188.567,4446
2025-07-28 00:00:00,188.598,188.938,188.1,188.918,2905
2025-07-28 00:15:00,188.967,191.1,188.857,190.939,11131
2025-07-28 00:30:00,190.918,191.069,189.402,189.402,8218
2025-07-28 00:45:00,189.568,190.068,188.925,189.657,8612
2025-07-28 01:00:00,189.707,189.848,188.678,189.347,9215
2025-07-28 01:15:00,189.317,190.12,188.697,189.208,8519
2025-07-28 01:30:00,189.158,189.178,187.747,187.828,8711
2025-07-28 01:45:00,187.838,188.298,187.582,188.231,6087
2025-07-28 02:00:00,188.248,188.8,187.835,188.688,5597
2025-07-28 02:15:00,188.758,190.969,188.7187,190.767,14886
2025-07-28 02:30:00,190.758,191.7,190.407,191.548,26293
2025-07-28 02:45:00,191.548,192.0,191.137,191.579,13629
2025-07-28 03:00:00,191.6,192.52,191.258,191.429,20439
2025-07-28 03:15:00,191.378,192.129,191.296,191.718,9594
2025-07-28 03:30:00,191.758,193.193,191.628,193.008,21633
2025-07-28 03:45:00,192.958,193.829,192.958,193.398,16056
2025-07-28 04:00:00,193.339,194.049,192.907,192.948,14162
2025-07-28 04:15:00,192.959,193.3,192.49,192.887,14161
2025-07-28 04:30:00,192.888,193.329,192.577,192.999,4726
2025-07-28 04:45:00,193.059,193.389,192.788,193.079,4895
2025-07-28 05:00:00,193.089,193.469,192.7,193.038,7686
2025-07-28 05:15:00,193.078,193.759,192.999,193.25,10180
2025-07-28 05:30:00,193.259,193.979,192.92,193.728,11245
2025-07-28 05:45:00,193.739,195.251,193.297,194.358,24451
2025-07-28 06:00:00,194.359,194.529,193.918,194.208,9313
2025-07-28 06:15:00,194.208,194.419,193.553,193.648,9869
2025-07-28 06:30:00,193.629,194.0,193.556,193.819,3555
2025-07-28 06:45:00,193.808,194.3,193.719,194.028,4581
2025-07-28 07:00:00,194.028,194.079,191.946,192.109,28499
2025-07-28 07:15:00,192.169,192.8,191.606,192.649,15493
2025-07-28 07:30:00,192.62,192.62,191.868,191.999,8492
2025-07-28 07:45:00,192.059,192.409,191.938,192.389,4580
2025-07-28 08:00:00,192.299,192.82,191.996,192.119,8446
2025-07-28 08:15:00,192.139,192.489,191.568,192.1886,9953
2025-07-28 08:30:00,192.219,192.229,191.233,191.8516,10282
2025-07-28 08:45:00,191.859,192.721,191.638,192.568,8106
2025-07-28 09:00:00,192.528,192.839,192.278,192.298,10566
2025-07-28 09:15:00,192.288,192.832,192.157,192.479,7978
2025-07-28 09:30:00,192.499,192.744,191.81,192.289,5657
2025-07-28 09:45:00,192.339,193.341,192.275,193.134,13016
2025-07-28 10:00:00,193.198,193.289,192.397,192.399,7237
2025-07-28 10:15:00,192.4,193.109,192.235,192.979,5236
2025-07-28 10:30:00,192.979,192.979,191.695,191.869,9780
2025-07-28 10:45:00,191.889,192.419,191.748,192.257,7939
2025-07-28 11:00:00,192.208,192.308,191.572,191.599,4659
2025-07-28 11:15:00,191.599,191.719,190.925,191.039,14423
2025-07-28 11:30:00,190.969,191.649,190.638,191.498,15657
2025-07-28 11:45:00,191.428,192.049,191.428,191.998,10388
2025-07-28 12:00:00,192.039,192.341,191.35,192.1273,12542
2025-07-28 12:15:00,192.1,192.733,191.969,192.448,13701
2025-07-28 12:30:00,192.4322,193.52,192.168,193.498,15369
2025-07-28 12:45:00,193.498,193.519,192.597,192.869,12455
2025-07-28 13:00:00,192.878,192.92,191.187,191.208,21071
2025-07-28 13:15:00,191.219,191.789,189.928,190.589,29000
2025-07-28 13:30:00,190.569,191.799,189.3,191.229,36222
2025-07-28 13:45:00,191.2,191.69,189.711,190.199,23939
2025-07-28 14:00:00,190.109,190.703,189.407,189.598,20128
2025-07-28 14:15:00,189.68,189.828,187.03,187.386,57467
2025-07-28 14:30:00,187.428,188.167,186.696,187.892,26150
2025-07-28 14:45:00,187.957,188.022,187.106,187.515,15537
2025-07-28 15:00:00,187.488,188.072,187.21,188.068,10418
2025-07-28 15:15:00,188.058,188.87,187.948,188.703,20635
2025-07-28 15:30:00,188.718,189.058,187.684,187.707,25329
2025-07-28 15:45:00,187.707,188.088,186.517,187.148,31567
2025-07-28 16:00:00,187.178,187.178,186.136,186.606,22590
2025-07-28 16:15:00,186.6,187.398,186.437,187.328,12926
2025-07-28 16:30:00,187.3,187.65,186.468,187.65,13661
2025-07-28 16:45:00,187.597,187.989,186.437,186.644,15639
2025-07-28 17:00:00,186.6302,187.428,186.49,186.577,11579
2025-07-28 17:15:00,186.588,186.948,185.783,186.908,21687
2025-07-28 17:30:00,186.917,187.078,185.535,185.899,22196
2025-07-28 17:45:00,185.917,186.199,185.3747,185.837,13525
2025-07-28 18:00:00,185.877,186.228,184.6382,185.797,30556
2025-07-28 18:15:00,185.808,185.889,184.375,184.547,19333
2025-07-28 18:30:00,184.586,185.218,183.4,185.026,35566
2025-07-28 18:45:00,185.037,185.4,184.764,185.119,8735
2025-07-28 19:00:00,185.128,186.408,185.128,185.837,18908
2025-07-28 19:15:00,185.927,186.068,185.379,185.737,7061
2025-07-28 19:30:00,185.708,185.71,184.447,184.516,10760
2025-07-28 19:45:00,184.516,185.428,183.597,185.235,16890
2025-07-28 20:00:00,185.367,185.5,183.881,184.277,6830
2025-07-28 20:15:00,184.207,184.537,182.581,182.84,12708
2025-07-28 20:30:00,182.806,184.517,182.716,183.725,11607
2025-07-28 20:45:00,183.706,184.691,183.586,184.177,6029
2025-07-28 21:00:00,184.12,184.9927,183.926,184.407,9811
2025-07-28 21:15:00,184.447,184.656,183.277,184.028,5567
2025-07-28 21:30:00,183.9,185.148,183.746,185.076,8788
2025-07-28 21:45:00,185.088,185.138,183.446,184.217,6551
2025-07-28 22:00:00,184.136,184.598,183.537,183.883,5121
2025-07-28 22:15:00,184.0,184.148,183.245,183.546,3419
2025-07-28 22:30:00,183.586,183.586,182.091,182.627,11363
2025-07-28 22:45:00,182.687,183.5936,182.554,183.5936,2995
2025-07-28 23:00:00,183.637,183.977,183.0,183.436,3073
2025-07-28 23:15:00,183.507,184.0,182.962,182.989,4296
2025-07-28 23:30:00,182.946,183.767,182.926,182.956,1353
